query,clicks,demand,sources,decision,notes
займ,277709,674344,zaim,commercial,core loans
займы,236991,589775,zaim,commercial,core loans
займ на карту,162514,229457,zaim,commercial,card
займы онлайн,162192,383569,"microzaim;zaim",commercial,online
займ онлайн,150519,275680,"microzaim;zaim",commercial,online
микрозайм,147656,327551,"microzaim;zaim",commercial,core loans
займы онлайн на карту,104416,146474,zaim,commercial,"online; card"
онлайн займ,98947,117052,zaim,commercial,online
онлайн займы,88935,103462,zaim,commercial,online
займ на карту без отказа,66414,86097,zaim,commercial,"card; no refusal"
займ на карту t_me_top_zaim24,57894,28623,zaim,spam,affiliate/spam tail
займ онлайн на карту,55813,70412,zaim,commercial,"online; card"
займ займом на карту,54230,59742,zaim,commercial,card
займы на карту,52786,71572,zaim,commercial,card
лайм займ,45776,105612,zaim,brand,brand/lk or MFO name
займ на карту онлайн,45415,54245,zaim,commercial,"online; card"
взять займ,43086,78531,zaim,commercial,action
займы на карту онлайн,38902,44446,zaim,commercial,"online; card"
быстрый займ,37927,46446,zaim,commercial,urgent
онлайн займы на карту,37335,42288,zaim,commercial,"online; card"
займ t_me_top_zaim24,36594,17657,zaim,spam,affiliate/spam tail
займ экспресс,35801,38810,zaim,commercial,urgent
онлайн займ на карту,35764,39965,zaim,commercial,"online; card"
займы без отказа,30053,64776,zaim,commercial,no refusal
займ без отказа,28865,50000,zaim,commercial,no refusal
займы онлайн t_me_top_zaim24,28841,13901,zaim,spam,affiliate/spam tail
займ без процентов,27803,51912,zaim,commercial,zero percent
взять займ на карту,27011,32405,zaim,commercial,"action; card"
займ на карте онлайн,26621,29065,zaim,commercial,"online; card"
юкки займ,25806,54458,zaim,brand,brand/lk or MFO name
займ онлайн на карте,25515,27446,zaim,commercial,"online; card"
займы онлайн на карту без отказа,25275,39268,zaim,commercial,"online; card; no refusal"
займ на карту срочно,24171,29607,zaim,commercial,"card; urgent"
займы с плохой кредитной историей без отказа,23621,23644,zaim,commercial,"no refusal; bad credit"
займ с плохой кредитной историей без отказа,23563,23185,zaim,commercial,"no refusal; bad credit"
микрозайм без процентов,23344,42238,"microzaim;zaim",commercial,zero percent
займ на карту вам одобрено,22346,22402,zaim,spam,affiliate/spam tail
турбозайм личный кабинет,21818,52726,zaim,brand,brand/lk or MFO name
взять микрозайм,21275,29188,microzaim,commercial,action
юкки займ личный кабинет,20285,28410,zaim,brand,brand/lk or MFO name
веб займ,19933,91316,zaim,brand,brand/lk or MFO name
займ до зарплаты,19879,21911,zaim,commercial,salary
микрозайм на карту,19608,18767,microzaim,commercial,card
займ без отказа с плохой кредитной историей,19600,18082,zaim,commercial,"no refusal; bad credit"
займы без отказа с плохой кредитной историей,19534,18112,zaim,commercial,"no refusal; bad credit"
взять займ на карту без отказа,19002,25595,zaim,commercial,"action; card; no refusal"
до зарплаты займ,18785,23662,zaim,commercial,salary
микрозайм онлайн,18349,21760,microzaim,commercial,online
займ под залог птс,18183,24888,zaim,commercial,pledge
займ с плохой кредитной историей,17965,17424,zaim,commercial,bad credit
займы на карту без отказа,17730,22815,zaim,commercial,"card; no refusal"
все займы,17448,25797,zaim,commercial,comparison
микрозайм t_me_top_zaim24,16640,8265,microzaim,spam,affiliate/spam tail
онлайн займ на карту без отказа,16594,24131,zaim,commercial,"online; card; no refusal"
квику,16470,24698,zaim,brand,brand/lk or MFO name
займ взять,16263,20851,zaim,commercial,action
займ без отказа на карту,16263,20160,zaim,commercial,"card; no refusal"
без отказа займ,16017,19807,zaim,commercial,no refusal
привет сосед займ,15714,29594,zaim,brand,brand/lk or MFO name
займ онлайн на карту без отказа,15545,18868,zaim,commercial,"online; card; no refusal"
займы без отказа на карту,15260,22424,zaim,commercial,"card; no refusal"
займ под залог авто,15159,23481,zaim,commercial,pledge
новые займы,14701,15167,zaim,maybe,needs serp check: new/unknown lenders
займы онлайн на карту t_me_top_zaim24,14017,6728,zaim,spam,affiliate/spam tail
займы с плохой кредитной историей,13949,13310,zaim,commercial,bad credit
микрозайм без процентов на карту,13839,20783,microzaim,commercial,"card; zero percent"
займы без процентов,12928,28044,zaim,commercial,zero percent
взять займ онлайн,12678,18582,zaim,commercial,"action; online"
займ на карту без отказов,12521,15525,zaim,commercial,"card; no refusal"
а деньги займ,12365,19400,zaim,brand,brand/lk or MFO name
займы без отказов на карту,12230,15390,zaim,commercial,"card; no refusal"
