query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
займ,займ,займ,277709,674344,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/,Займы и микрозаймы,commercial,high,loan,
займы,займы,займы,236991,589775,HIGH,HIGH,zaim,zaim:Queries,page,/zaimy/,Займы и микрозаймы,commercial,high,loan,
займ на карту,займ на карту,займ на карту,162514,229457,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu/,Займы на карту,commercial,high,"onCard;loan",
займы онлайн,займы онлайн,займы онлайн,162192,383569,AVERAGE,AVERAGE,"microzaim;zaim","microzaim:AdditionalQueries;zaim:Queries",page,/zaimy/online/,Займы онлайн,commercial,high,"online;loan",
займ онлайн,займ онлайн,займ онлайн,150519,275680,AVERAGE,AVERAGE,"microzaim;zaim","microzaim:AdditionalQueries;zaim:Queries",page,/zaimy/online/,Займы онлайн,commercial,high,"online;loan",
микрозайм,микрозайм,микрозайм,147656,327551,HIGH,HIGH,"microzaim;zaim","microzaim:Queries;zaim:AdditionalQueries",page,/zaimy/,Займы и микрозаймы,commercial,high,"microloan;loan",
займы онлайн на карту,займы онлайн на карту,займы онлайн на карту,104416,146474,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu/,Займы на карту,commercial,high,"online;onCard;loan",
онлайн займ,онлайн займ,онлайн займ,98947,117052,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/online/,Займы онлайн,commercial,high,"online;loan",
онлайн займы,онлайн займы,онлайн займы,88935,103462,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/online/,Займы онлайн,commercial,high,"online;loan",
займ на карту без отказа,займ на карту без отказа,займ на карту без отказа,66414,86097,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu-bez-otkaza/,Займы на карту без отказа,commercial:compound,high,"onCard;noRefusal;loan",Формулировку 'без отказа' использовать аккуратно.
займ на карту t_me_top_zaim24,займ на карту t_me_top_zaim24,займ на карту t_me_top_zaim24,57894,28623,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,"onCard;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займ онлайн на карту,займ онлайн на карту,займ онлайн на карту,55813,70412,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu/,Займы на карту,commercial,high,"online;onCard;loan",
займ займом на карту,займ займом на карту,займ займом на карту,54230,59742,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu/,Займы на карту,commercial,high,"onCard;loan",
займы на карту,займы на карту,займы на карту,52786,71572,AVERAGE,AVERAGE,zaim,zaim:Queries,page,/zaimy/na-kartu/,Займы на карту,commercial,high,"onCard;loan",
лайм займ,лайм займ,лайм займ,45776,105612,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
