query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
турбозайм личный кабинет,турбозайм личный кабинет,турбозайм личный кабинет,21818,52726,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
юкки займ личный кабинет,юкки займ личный кабинет,юкки займ личный кабинет,20285,28410,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
лайм займ личный кабинет,лайм займ личный кабинет,лайм займ личный кабинет,10886,22807,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
бустра займ личный кабинет,бустра займ личный кабинет,бустра займ личный кабинет,10734,18207,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
привет сосед займ личный кабинет,привет сосед займ личный кабинет,привет сосед займ личный кабинет,9016,14699,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
займ экспресс личный кабинет,займ экспресс личный кабинет,займ экспресс личный кабинет,8541,7380,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,"instant;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
небус займ личный кабинет войти,небус займ личный кабинет войти,небус займ личный кабинет войти,8076,17814,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
юкки займ личный,юкки займ личный,юкки займ личный,7582,11035,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
веб займ личный кабинет,веб займ личный кабинет,веб займ личный кабинет,7354,23063,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
умные наличные займ,умные наличные займ,умные наличные займ,5376,7013,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,"cash;loan","Навигационный/сервисный запрос, не посадочная коммерческая страница."
вивус займ личный кабинет,вивус займ личный кабинет,вивус займ личный кабинет,4932,5798,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
бустра займ личный,бустра займ личный,бустра займ личный,4831,9436,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
небус займ личный,небус займ личный,небус займ личный,4803,10655,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
финтерс займ личный кабинет,финтерс займ личный кабинет,финтерс займ личный кабинет,4571,7098,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
надо денег займ личный кабинет,надо денег займ личный кабинет,надо денег займ личный кабинет,4270,9409,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
турбозайм займ личный кабинет,турбозайм займ личный кабинет,турбозайм займ личный кабинет,4244,13407,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
целевые финансы займ личный кабинет,целевые финансы займ личный кабинет,целевые финансы займ личный кабинет,4051,5392,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
мани мен займ личный кабинет,мани мен займ личный кабинет,мани мен займ личный кабинет,3870,7821,HIGH,HIGH,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
небус займ личный кабинет,небус займ личный кабинет,небус займ личный кабинет,3850,7791,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
деньги ок займ личный кабинет,деньги ок займ личный кабинет,деньги ок займ личный кабинет,3497,3771,LOW,LOW,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
привет сосед займ личный,привет сосед займ личный,привет сосед займ личный,3181,5978,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
boostra займ личный кабинет,boostra займ личный кабинет,boostra займ личный кабинет,3148,5660,AVERAGE,AVERAGE,zaim,zaim:Queries,account,,,,exclude,loan,"Навигационный/сервисный запрос, не посадочная коммерческая страница."
