query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
лайм займ,лайм займ,лайм займ,45776,105612,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
юкки займ,юкки займ,юкки займ,25806,54458,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
веб займ,веб займ,веб займ,19933,91316,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
привет сосед займ,привет сосед займ,привет сосед займ,15714,29594,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
а деньги займ,а деньги займ,а деньги займ,12365,19400,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
займ мобайл,займ мобайл,займ мобайл,11368,13715,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
корона займ,корона займ,корона займ,10334,12563,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
небус займ,небус займ,небус займ,9780,21817,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
доброзайм,доброзайм,доброзайм,7444,26071,AVERAGE,AVERAGE,microzaim,microzaim:AdditionalQueries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
лайк займ,лайк займ,лайк займ,6546,22678,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
папа займ,папа займ,папа займ,6440,7348,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
бустра займ,бустра займ,бустра займ,6209,11488,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
капуста займ,капуста займ,капуста займ,5766,13133,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
дополучкино займ,дополучкино займ,дополучкино займ,5318,9995,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
бюджет займ,бюджет займ,бюджет займ,5301,7529,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
бережный займ,бережный займ,бережный займ,5077,5733,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
деньга займ,деньга займ,деньга займ,4949,8683,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
капиталина займ,капиталина займ,капиталина займ,4596,9375,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
каширо займ,каширо займ,каширо займ,4287,6407,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
турбо займ,турбо займ,турбо займ,4227,16926,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
бери беру займ,бери беру займ,бери беру займ,4090,8987,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
квику займ,квику займ,квику займ,4056,5920,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
екапуста займ,екапуста займ,екапуста займ,4041,7787,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
белые деньги займ,белые деньги займ,белые деньги займ,4014,4226,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
золотая корона займ,золотая корона займ,золотая корона займ,3809,4877,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
квики займ,квики займ,квики займ,3761,4683,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
целевые финансы займ,целевые финансы займ,целевые финансы займ,3745,5410,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
юки займ,юки займ,юки займ,3571,9232,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
бум займ,бум займ,бум займ,3335,3472,LOW,LOW,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
давака займ,давака займ,давака займ,3295,6916,AVERAGE,AVERAGE,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
деньги на дом займ,деньги на дом займ,деньги на дом займ,3196,5373,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
срочно деньги займ,срочно деньги займ,срочно деньги займ,3155,5554,HIGH,HIGH,zaim,zaim:Queries,brand,,,,separate,"instant;loan",Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
кит кредит займ,кит кредит займ,кит кредит займ,2857,3758,LOW,LOW,zaim,zaim:Queries,brand,,,,separate,loan,Брендовый запрос МФО/банка. Лучше держать отдельно от небрендовой коммерческой семантики.
