query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
долгосрочные займы без отказа,долгосрочные займы без отказа,долгосрочные займы без отказа,4857,3406,LOW,LOW,zaim,zaim:Queries,informational,,,,separate,"noRefusal;instant;longTerm;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
деньги в долг под залог машины,деньги в долг под залог машины,деньги в долг под залог машины,4509,5230,HIGH,HIGH,zaim,zaim:AdditionalQueries,informational,,,,separate,collateralAuto,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как получить займ с плохой кредитной историей без отказа,как получить займ с плохой кредитной историей без отказа,как получить займ с плохой кредитной историей без отказа,3300,2525,AVERAGE,AVERAGE,zaim,zaim:Queries,informational,,,,separate,"noRefusal;badCredit;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
договор займа,договор займа,договор займа,3127,4276,HIGH,HIGH,zaim,zaim:Queries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
долгосрочные займы,долгосрочные займы,долгосрочные займы,2998,3637,AVERAGE,AVERAGE,zaim,zaim:Queries,informational,,,,separate,"instant;longTerm;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
какие займы дают без отказа,какие займы дают без отказа,какие займы дают без отказа,1918,2384,HIGH,HIGH,zaim,zaim:Queries,informational,,,,separate,"noRefusal;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
договор займа между физическими лицами,договор займа между физическими лицами,договор займа между физическими лицами,1596,1607,HIGH,HIGH,zaim,zaim:Queries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
займ на долгий срок,займ на долгий срок,займ на долгий срок,1410,2204,HIGH,HIGH,zaim,zaim:Queries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как получить микрозайм без отказа,как получить микрозайм без отказа,как получить микрозайм без отказа,1401,1578,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"noRefusal;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
договор займа между физическими лицами образец 2025,договор займа между физическими лицами образец 2025,договор займа между физическими лицами образец 2025,1382,1114,HIGH,HIGH,zaim,zaim:Queries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять займ,как взять займ,как взять займ,1359,1721,HIGH,HIGH,zaim,zaim:Queries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
долгосрочный займ с ежемесячным платежом,долгосрочный займ с ежемесячным платежом,долгосрочный займ с ежемесячным платежом,1355,1584,AVERAGE,AVERAGE,zaim,zaim:Queries,informational,,,,separate,"instant;longTerm;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
долгосрочный займ,долгосрочный займ,долгосрочный займ,1293,2413,HIGH,HIGH,zaim,zaim:Queries,informational,,,,separate,"instant;longTerm;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
займ под материнский капитал,займ под материнский капитал,займ под материнский капитал,1262,1456,HIGH,HIGH,zaim,zaim:Queries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
облигации федерального займа,облигации федерального займа,облигации федерального займа,1167,2716,AVERAGE,AVERAGE,zaim,zaim:Queries,informational,,,,separate,loan,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять быстрый займ,как взять быстрый займ,как взять быстрый займ,1156,1589,HIGH,HIGH,zaim,zaim:Queries,informational,,,,separate,"instant;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как получить микрозайм на карту,как получить микрозайм на карту,как получить микрозайм на карту,1035,1619,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"onCard;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрозайм,как взять микрозайм,как взять микрозайм,1002,1450,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрозайм онлайн,как взять микрозайм онлайн,как взять микрозайм онлайн,890,1082,HIGH,HIGH,microzaim,microzaim:Queries,informational,,,,separate,"online;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
что будет если не платить микрозаймы,что будет если не платить микрозаймы,что будет если не платить микрозаймы,801,977,HIGH,HIGH,microzaim,microzaim:AdditionalQueries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как получить микрозайм,как получить микрозайм,как получить микрозайм,609,1106,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
где взять микрозайм если везде отказывают,где взять микрозайм если везде отказывают,где взять микрозайм если везде отказывают,542,532,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как получить микрозайм без отказа на карту,как получить микрозайм без отказа на карту,как получить микрозайм без отказа на карту,531,750,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"onCard;noRefusal;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
какие займы одобряют 100 процентов,какие займы одобряют 100 процентов,какие займы одобряют 100 процентов,518,524,LOW,LOW,microzaim,microzaim:AdditionalQueries,informational,,,,separate,"noRefusal;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
автоломбард официальный сайт,автоломбард официальный сайт,автоломбард официальный сайт,517,641,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,informational,,,,separate,collateralAuto,Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
как взять микрозайм на карту,как взять микрозайм на карту,как взять микрозайм на карту,503,812,AVERAGE,AVERAGE,microzaim,microzaim:Queries,informational,,,,separate,"onCard;microloan;loan",Информационный/юридический/долговой запрос. Не смешивать с коммерческими алиасами.
