query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
займ на карту t_me_top_zaim24,займ на карту t_me_top_zaim24,займ на карту t_me_top_zaim24,57894,28623,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,"onCard;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займ t_me_top_zaim24,займ t_me_top_zaim24,займ t_me_top_zaim24,36594,17657,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,loan,"Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займы онлайн t_me_top_zaim24,займы онлайн t_me_top_zaim24,займы онлайн t_me_top_zaim24,28841,13901,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,"online;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
микрозайм t_me_top_zaim24,микрозайм t_me_top_zaim24,микрозайм t_me_top_zaim24,16640,8265,LOW,LOW,microzaim,microzaim:Queries,noise,,,,exclude,"microloan;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займы онлайн на карту t_me_top_zaim24,займы онлайн на карту t_me_top_zaim24,займы онлайн на карту t_me_top_zaim24,14017,6728,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,"online;onCard;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займ на карту без отказа t_me_top_zaim24,займ на карту без отказа t_me_top_zaim24,займ на карту без отказа t_me_top_zaim24,8667,4446,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,"onCard;noRefusal;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
микрозайм на карту онлайн choosingbestloan,микрозайм на карту онлайн choosingbestloan,микрозайм на карту онлайн choosingbestloan,6538,8188,LOW,LOW,microzaim,microzaim:Queries,noise,,,,exclude,"online;onCard;microloan;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займы без отказа creditulka,займы без отказа creditulka,займы без отказа creditulka,5613,2740,AVERAGE,AVERAGE,zaim,zaim:Queries,noise,,,,exclude,"noRefusal;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займ на карту срочно t_me_top_zaim24,займ на карту срочно t_me_top_zaim24,займ на карту срочно t_me_top_zaim24,5571,2791,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,"onCard;instant;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займы онлайн на карту creditulka,займы онлайн на карту creditulka,займы онлайн на карту creditulka,5365,2339,AVERAGE,AVERAGE,zaim,zaim:Queries,noise,,,,exclude,"online;onCard;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
займы без процентов creditulka,займы без процентов creditulka,займы без процентов creditulka,4648,2398,LOW,LOW,zaim,zaim:Queries,noise,,,,exclude,"noInterest;loan","Технический/паразитный хвост: домен, Telegram, промокод или внешняя сущность."
