query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
квику,квику,квику,16470,24698,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
капуста,капуста,капуста,10237,28146,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
квики,квики,квики,6276,8408,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
lime zaim,lime zaim,lime zaim,2794,7268,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
белка кредит личный кабинет,белка кредит личный кабинет,белка кредит личный кабинет,2784,5909,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
аденьги личный кабинет личный кабинет,аденьги личный кабинет личный кабинет,аденьги личный кабинет личный кабинет,2533,3008,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
экспресс деньги личный кабинет,экспресс деньги личный кабинет,экспресс деньги личный кабинет,2533,2364,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,instant,Неочевидная релевантность к займам.
кредит онлайн на карту без отказа,кредит онлайн на карту без отказа,кредит онлайн на карту без отказа,2188,3752,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,"online;onCard;noRefusal",Неочевидная релевантность к займам.
деньги на карту мгновенно без отказа,деньги на карту мгновенно без отказа,деньги на карту мгновенно без отказа,1709,1794,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noRefusal;instant",Неочевидная релевантность к займам.
аденьги личный кабинет войти,аденьги личный кабинет войти,аденьги личный кабинет войти,1653,1819,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
а деньги вход,а деньги вход,а деньги вход,1550,1844,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
a dengi,a dengi,a dengi,1479,3102,AVERAGE,AVERAGE,"microzaim;zaim","microzaim:AdditionalQueries;zaim:AdditionalQueries",review-needed,,,,low,,Неочевидная релевантность к займам.
бостра,бостра,бостра,1271,3112,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
кредит с плохой кредитной историей без отказа на карту,кредит с плохой кредитной историей без отказа на карту,кредит с плохой кредитной историей без отказа на карту,1241,1142,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noRefusal;badCredit",Неочевидная релевантность к займам.
пко рсв,пко рсв,пко рсв,1172,1727,HIGH,HIGH,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
коке кз,коке кз,коке кз,1132,1512,AVERAGE,AVERAGE,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
кредит под залог стс,кредит под залог стс,кредит под залог стс,986,1018,HIGH,HIGH,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
495 кредит личный кабинет,495 кредит личный кабинет,495 кредит личный кабинет,921,1077,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
занять деньги онлайн на карту,занять деньги онлайн на карту,занять деньги онлайн на карту,903,1150,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"online;onCard",Неочевидная релевантность к займам.
деньги на карту срочно без отказа,деньги на карту срочно без отказа,деньги на карту срочно без отказа,892,991,AVERAGE,AVERAGE,zaim,zaim:AdditionalQueries,review-needed,,,,low,"onCard;noRefusal;instant",Неочевидная релевантность к займам.
канат кз,канат кз,канат кз,823,1466,LOW,LOW,microcredit,microcredit:AdditionalQueries,review-needed,,,,low,,Неочевидная релевантность к займам.
