query,normalized_query,variants,clicks,demand,competitiveness,competitiveness_set,sources,source_sheets,bucket,page_slug,page_name,page_type,priority,signals,notes
топ займов,топ займов,топ займов,7943,9280,LOW,LOW,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рефинансирование займов,рефинансирование займов,рефинансирование займов,5239,6324,HIGH,HIGH,zaim,zaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"refinance;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
рефинансирование микрозаймов,рефинансирование микрозаймов,рефинансирование микрозаймов,5033,5053,HIGH,HIGH,microzaim,microzaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"refinance;microloan;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
калькулятор процентов по займу,калькулятор процентов по займу,калькулятор процентов по займу,4962,5752,HIGH,HIGH,zaim,zaim:Queries,support,/calculators/zaim/,Калькулятор займа,support,medium,"calculator;loan",Сервисная страница и перелинковка.
лучшие займы,лучшие займы,лучшие займы,3680,5554,AVERAGE,AVERAGE,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
займы список,займы список,займы список,3054,3986,LOW,LOW,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
лучшие займы онлайн на карту,лучшие займы онлайн на карту,лучшие займы онлайн на карту,2852,4010,AVERAGE,AVERAGE,zaim,zaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"online;onCard;rating;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рейтинг микрозаймов,рейтинг микрозаймов,рейтинг микрозаймов,2583,3492,LOW,LOW,microzaim,microzaim:Queries,support,/zaimy/top/,Лучшие займы и рейтинг МФО,support,high,"rating;microloan;loan",Коммерческо-support листинг: рейтинг/топ/подбор.
рефинансирование займа под залог птс,рефинансирование займа под залог птс,рефинансирование займа под залог птс,2454,3264,AVERAGE,AVERAGE,zaim,zaim:Queries,support,/zaimy/refinansirovanie-mikrozaymov/,Рефинансирование микрозаймов,support,medium,"collateralPts;refinance;loan","Спорный, но отдельный спрос. Нужна продуктовая проверка."
расчет процентов по займу,расчет процентов по займу,расчет процентов по займу,2377,2742,HIGH,HIGH,zaim,zaim:Queries,support,/calculators/zaim/,Калькулятор займа,support,medium,"calculator;loan",Сервисная страница и перелинковка.
