"direction","intent","slug","competitors","urls","source_slugs"
"Хаб и названия продукта","целевые займы","celevye","zaim.com","https://zaim.com/zaimy-tselivie/","tselivie"
"Хаб и названия продукта","частные займы","chastnye","bankiros.ru|zaim.com|zaym.me","https://bankiros.ru/zaymy/chastnye|https://zaim.com/zaimy-chastnie/|https://zaym.me/zaimi/filter-chastnye|https://zaym.me/zaimi/filter-chastnye/anapa|https://zaym.me/zaimi/filter-chastnye/arxangelsk|https://zaym.me/zaimi/filter-chastnye/arzamas|https://zaym.me/zaimi/filter-chastnye/astrakhan|https://zaym.me/zaimi/filter-chastnye/barnaul","chastnie|chastnye"
"Хаб и названия продукта","деньги в долг","dengi-v-dolg","bankiros.ru|brobank.ru|finuslugi.ru|zaim.com","https://bankiros.ru/zaymy/dengi-v-dolg|https://brobank.ru/zajmy/dengi-v-dolg/|https://finuslugi.ru/mikrozajmy/teg_dengi_v_dolg|https://zaim.com/zaimy-dengi-v-dolg/|https://zaim.com/zaimy-v-moskve-dengi-v-dolg/|https://zaim.com/zaimy-v-novosibirske-dengi-v-dolg/|https://zaim.com/zaimy-v-samare-dengi-v-dolg/","dengi-v-dolg"
"Хаб и названия продукта","займы / микрозаймы / продуктовый хаб","hub","banki.ru|bankiros.ru|brobank.ru|finuslugi.ru|rus.credit|zaym.me","https://www.banki.ru/microloans/|https://bankiros.ru/zaymy|https://brobank.ru/zajmy/|https://finuslugi.ru/mikrozajmy|https://rus.credit/microloans|https://zaym.me/zaimi","hub"
"Хаб и названия продукта","микрокредиты онлайн","microcredit-online","bankiros.ru","https://bankiros.ru/zaymy/microcredit-online","microcredit-online"
"Хаб и названия продукта","микрокредиты","microkredity","zaim.com","https://zaim.com/zaimy-microkredity/","microkredity"
"Хаб и названия продукта","новогодние займы","novogodnie","bankiros.ru","https://bankiros.ru/zaymy/novogodnie","novogodnie"
"Хаб и названия продукта","новые займы","novye","bankiros.ru|brobank.ru|zaim.com|zaym.me","https://bankiros.ru/zaymy/novye|https://brobank.ru/zajmy/novye/|https://zaim.com/zaimy-novie/|https://zaym.me/zaimi/filter-zaim-novye|https://zaym.me/zaimi/filter-zaim-novye/anapa|https://zaym.me/zaimi/filter-zaim-novye/arxangelsk|https://zaym.me/zaimi/filter-zaim-novye/arzamas|https://zaym.me/zaimi/filter-zaim-novye/astrakhan","novie|novye|zaim-novye"
"Хаб и названия продукта","потребительские займы","potrebitelskie","brobank.ru","https://brobank.ru/zajmy/potrebitelskie/","potrebitelskie"
"Каталог, подбор, доверие","карточки компаний/МФО","companies","brobank.ru|rus.credit","https://brobank.ru/zaym-495credit/|https://brobank.ru/zaym-adengi/|https://brobank.ru/zaym-beriberu/|https://brobank.ru/zaym-bistrodengi/|https://brobank.ru/zaym-capitalina/|https://brobank.ru/zaym-carmoney-pts/|https://brobank.ru/zaym-cashmagnit/|https://brobank.ru/zaym-cashpro/","companies"
"Каталог, подбор, доверие","сервисы подбора займов","credit-services","bankiros.ru|rus.credit","https://bankiros.ru/zaymy/credit-services|https://rus.credit/products/creditservices","credit-services"
"Каталог, подбор, доверие","калькулятор займа","kalkulyator","brobank.ru|zaim.com","https://brobank.ru/zajmy/calculator/|https://zaim.com/zaimy-kalkulyator/","calculator|kalkulyator"
"Каталог, подбор, доверие","лучшие займы","luchshie","bankiros.ru|brobank.ru","https://bankiros.ru/zaymy/best|https://brobank.ru/zajmy/luchshie/","best|luchshie"
"Каталог, подбор, доверие","малоизвестные займы","maloizvestnye","bankiros.ru|brobank.ru|zaym.me","https://bankiros.ru/zaymy/maloizvestnye|https://brobank.ru/zajmy/maloizvestnye/|https://zaym.me/zaimi/filter-maloizvestnye|https://zaym.me/zaimi/filter-maloizvestnye/anapa|https://zaym.me/zaimi/filter-maloizvestnye/arxangelsk|https://zaym.me/zaimi/filter-maloizvestnye/arzamas|https://zaym.me/zaimi/filter-maloizvestnye/astrakhan|https://zaym.me/zaimi/filter-maloizvestnye/barnaul","maloizvestnye"
"Каталог, подбор, доверие","малоизвестные МФО","maloizvestnye-mfo","finuslugi.ru|zaim.com","https://finuslugi.ru/mikrozajmy/teg_maloizvestnye_mfo|https://zaim.com/maloizvestnye-mfo/","maloizvestnye-mfo"
"Каталог, подбор, доверие","МКК","mkk","bankiros.ru","https://bankiros.ru/zaymy/mkk","mkk"
"Каталог, подбор, доверие","надежные займы","nadezhnye","bankiros.ru|brobank.ru","https://bankiros.ru/zaymy/nadezhnye|https://brobank.ru/zajmy/nadezhnye/","nadezhnye"
"Каталог, подбор, доверие","онлайн-заявка","online-zayavka","finuslugi.ru","https://finuslugi.ru/mikrozajmy/teg_online_zayavka","online-zayavka"
"Каталог, подбор, доверие","отзывы","otzyvy","brobank.ru","https://brobank.ru/zajmy/comments/","comments"
"Каталог, подбор, доверие","подбор займа онлайн","podbor-zayma-online","bankiros.ru","https://bankiros.ru/podbor-zayma-online","podbor-zayma-online"
"Каталог, подбор, доверие","промо микрозаймов","promo-microloans","rus.credit","https://rus.credit/promo/microloans","promo-microloans"
"Каталог, подбор, доверие","проверенные займы","proverennye","bankiros.ru|brobank.ru|zaim.com|zaym.me","https://bankiros.ru/zaymy/proverennye|https://brobank.ru/zajmy/proverennye/|https://zaim.com/zaimy-proverennie/|https://zaym.me/zaimi/filter-proverennye|https://zaym.me/zaimi/filter-proverennye/anapa|https://zaym.me/zaimi/filter-proverennye/arxangelsk|https://zaym.me/zaimi/filter-proverennye/arzamas|https://zaym.me/zaimi/filter-proverennye/astrakhan","proverennie|proverennye"
"Каталог, подбор, доверие","список МФО","spisok-mfo","brobank.ru","https://brobank.ru/zajmy/mfo/|https://brobank.ru/zajmy/mfo/novye/","mfo"
"Каталог, подбор, доверие","топ займов","top-zaimov","finuslugi.ru","https://finuslugi.ru/mikrozajmy/teg_top_zaimov","top-zaimov"
"Каталог, подбор, доверие","заявка во все МФО","zayavka-vse-mfo","brobank.ru","https://brobank.ru/zajmy/zayavka-vse-mfo/","zayavka-vse-mfo"
"Способ получения","займы через приложение","cherez-prilozhenie","bankiros.ru","https://bankiros.ru/zaymy/cherez-prilozhenie","cherez-prilozhenie"
"Способ получения","займы через Telegram","cherez-telegram","bankiros.ru|zaim.com","https://bankiros.ru/zaymy/telegram|https://zaim.com/zaimy-cherez-telegram/","cherez-telegram|telegram"
"Способ получения","займы через Contact","contact","brobank.ru|zaym.me","https://brobank.ru/zajmy/contact/|https://zaym.me/zaimi/filter-zaim-na-contact|https://zaym.me/zaimi/filter-zaim-na-contact/anapa|https://zaym.me/zaimi/filter-zaim-na-contact/arxangelsk|https://zaym.me/zaimi/filter-zaim-na-contact/arzamas|https://zaym.me/zaimi/filter-zaim-na-contact/astrakhan|https://zaym.me/zaimi/filter-zaim-na-contact/barnaul|https://zaym.me/zaimi/filter-zaim-na-contact/belgorod|https://zaym.me/zaimi/filter-zaim-na-contact/bryansk","contact|zaim-na-contact"
"Способ получения","займы денежным переводом","denezhnym-perevodom","bankiros.ru|brobank.ru|finuslugi.ru|zaim.com","https://bankiros.ru/zaymy/denezhnym-perevodom|https://brobank.ru/zajmy/perevodom/|https://finuslugi.ru/mikrozajmy/teg_perevodom|https://zaim.com/zaimy-denezhnim-perevodom/","denezhnim-perevodom|denezhnym-perevodom|perevodom"
